,Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
380,Bay,,1/23/1999,1.1,11.2,6.7,0.28,0.6,15.0,,,0:00,"Strader, S. Poe",,,-17.77777778,1999
381,Bay,,8/5/1999,1.8,1.8,9.5,0.35,0.35,27.0,,,0:00,"Strader, S. Poe",,,-17.77777778,1999
382,Bay,,8/11/1999,3.0,7.0,9.2,0.4,0.65,28.0,,86.54,12:57,"Strader, S. Poe",,,30.3,1999
383,Bay,,8/18/1999,3.0,3.0,9.1,,,29.0,,87.8,19:12,"Strader, S. Poe",,,31.0,1999
384,Bay,,9/8/1999,2.2,1.9,8.5,0.9,0.95,28.0,,76.6,14:24,"Strader, S. Poe",,,24.77777778,1999
385,Bay,,10/15/1999,2.0,4.8,5.7,0.42,0.5,16.0,,65.0,0:00,"Strader, S. Poe",,,18.33333333,1999
386,Bay,,10/27/1999,0.3,4.3,8.6,0.5,0.5,24.5,,,,"Strader, S. Poe",,,-17.77777778,1999
387,Bay,,11/10/1999,1.0,7.5,8.1,5.5,5.5,14.0,,60.0,0:00,"Strader, S. Poe",,,15.55555556,1999
388,Bay,,12/16/1999,1.0,8.7,9.1,0.5,0.85,11.0,,48.0,0:00,"Strader, S. Poe",,,8.888888889,1999
389,Bay,,12/30/1999,0.1,6.1,7.0,0.25,0.45,5.0,,41.0,0:00,"Strader, S. Poe",,,5.0,1999
390,A,,2/17/2000,0.08,,8.0,0.95,1.05,9.0,,43.0,0:00,Not Recorded,,,6.1111111110000005,2000
391,A,,2/29/2000,1.5,5.0,8.1,0.9,1.1,15.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
392,A,,3/13/2000,1.0,,7.5,0.85,0.88,14.0,,48.0,0:00,Not Recorded,,,8.888888889,2000
393,A,,4/3/2000,1.0,,7.0,0.55,1.05,19.0,,,0:00,Not Recorded,,,-17.77777778,2000
394,A,,5/1/2000,0.5,3.6,7.1,0.9,1.0,23.0,,75.0,0:00,Not Recorded,,,23.88888889,2000
395,A,,5/15/2000,1.0,6.4,8.2,0.85,0.9,27.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
396,A,,5/30/2000,0.5,,7.8,0.65,0.65,15.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
397,A,,6/13/2000,1.0,,8.0,0.45,0.55,27.0,,72.0,0:00,Not Recorded,,,22.22222222,2000
398,A,,6/26/2000,1.0,5.5,8.0,0.55,0.55,30.5,,84.2,,Not Recorded,,,29.0,2000
399,A,,7/11/2000,0.8,,8.1,0.37,0.8,31.0,,80.6,14:24,Not Recorded,,,27.0,2000
400,A,,7/24/2000,0.05,6.1,8.0,0.55,0.55,25.0,,78.0,0:00,Not Recorded,,,25.55555556,2000
401,A,,8/10/2000,0.0,,6.4,0.65,0.65,29.0,,83.0,0:00,Not Recorded,,,28.33333333,2000
402,A,,8/22/2000,0.0,5.2,7.5,0.65,0.65,25.0,,72.0,0:00,Not Recorded,,,22.22222222,2000
403,A,,9/6/2000,0.0,,8.0,0.9,0.9,21.0,,72.0,0:00,Not Recorded,,,22.22222222,2000
404,A,,9/18/2000,0.0,5.8,,0.4,0.75,22.0,,70.0,0:00,Not Recorded,,,21.11111111,2000
405,A,,10/4/2000,1.1,8.7,8.3,0.55,0.7,35.0,,84.0,0:00,Not Recorded,,,28.88888889,2000
406,A,,10/26/2000,1.0,,8.7,0.63,0.63,21.0,,67.0,0:00,Not Recorded,,,19.44444444,2000
407,A,,11/1/2000,0.0,9.75,8.2,0.65,0.65,16.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
408,A,,11/14/2000,1.0,,7.5,0.5,0.75,13.0,,55.0,0:00,Not Recorded,,,12.77777778,2000
409,A,,12/11/2000,1.0,,8.0,0.75,0.75,7.5,,45.0,0:00,Not Recorded,,,7.222222222,2000
410,A,,12/18/2000,1.0,9.9,8.2,0.7,0.7,9.0,,44.0,0:00,Not Recorded,,,6.666666667,2000
411,B,,2/2/2000,1.0,6.4,7.1,0.35,0.35,5.0,,46.0,0:00,Not Recorded,,,7.777777778,2000
412,B,,2/17/2000,1.2,,7.8,0.4,0.4,10.0,,43.0,0:00,Not Recorded,,,6.1111111110000005,2000
413,B,,2/29/2000,1.2,,7.8,0.37,0.37,14.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
414,B,,3/13/2000,1.5,10.0,7.8,0.3,0.3,12.5,,48.0,0:00,Not Recorded,,,8.888888889,2000
415,B,,4/3/2000,1.5,,7.0,0.35,0.35,21.0,,,0:00,Not Recorded,,,-17.77777778,2000
416,B,,5/1/2000,1.0,3.5,7.5,0.15,0.15,25.5,,75.0,0:00,Not Recorded,,,23.88888889,2000
417,B,,5/15/2000,1.5,7.6,9.7,4.0,4.5,30.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
418,B,,5/30/2000,1.0,,8.0,0.2,0.2,15.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
419,B,,6/13/2000,1.0,,8.6,0.15,0.4,27.0,,72.0,0:00,Not Recorded,,,22.22222222,2000
420,B,,6/26/2000,1.0,8.3,8.8,0.05,0.1,30.0,,82.4,9:36,Not Recorded,,,28.0,2000
421,B,,7/11/2000,1.0,,7.6,0.15,0.15,31.0,,87.8,19:12,Not Recorded,,,31.0,2000
422,B,,7/24/2000,1.0,1.8,7.5,0.0,0.15,24.0,,78.0,0:00,Not Recorded,,,25.55555556,2000
423,B,,8/10/2000,1.0,,6.3,0.23,0.23,29.0,,83.0,0:00,Not Recorded,,,28.33333333,2000
424,B,,8/22/2000,0.0,2.4,7.8,0.35,0.35,22.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
425,B,,9/6/2000,0.0,,7.9,0.45,0.45,21.0,,72.0,0:00,Not Recorded,,,22.22222222,2000
426,B,,9/18/2000,0.8,7.6,7.9,0.1,0.1,20.0,,70.0,0:00,Not Recorded,,,21.11111111,2000
427,B,,10/4/2000,1.0,8.5,8.5,0.1,0.1,30.0,,84.0,0:00,Not Recorded,,,28.88888889,2000
428,B,,10/26/2000,2.0,,8.7,0.1,0.25,22.0,,67.0,0:00,Not Recorded,,,19.44444444,2000
429,B,,11/1/2000,1.0,5.5,8.1,0.1,0.11,14.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
430,B,,11/14/2000,1.5,,7.8,0.35,0.35,14.0,,55.0,0:00,Not Recorded,,,12.77777778,2000
431,B,,12/11/2000,1.5,,7.8,0.3,0.65,8.0,,45.0,0:00,Not Recorded,,,7.222222222,2000
432,B,,12/18/2000,1.5,7.2,7.9,0.2,0.4,7.5,,43.4,9:36,Not Recorded,,,6.333333333,2000
433,C,,2/2/2000,1.0,5.9,6.9,0.65,0.81,4.0,,45.0,0:00,Not Recorded,,,7.222222222,2000
434,C,,2/17/2000,1.0,,7.6,0.85,0.85,9.9,,43.0,0:00,Not Recorded,,,6.1111111110000005,2000
435,C,,2/29/2000,0.9,,7.9,0.85,0.85,16.0,,60.0,0:00,Not Recorded,,,15.55555556,2000
436,C,,3/13/2000,1.0,,8.6,0.7,0.83,14.0,,45.0,0:00,Not Recorded,,,7.222222222,2000
437,C,,4/3/2000,1.0,,8.4,0.7,0.9,21.0,,,0:00,Not Recorded,,,-17.77777778,2000
438,C,,5/1/2000,0.5,,7.8,0.6,0.6,,,75.0,0:00,Not Recorded,,,23.88888889,2000
439,C,,5/15/2000,1.0,,9.3,0.4,0.45,27.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
440,C,,5/30/2000,0.5,7.9,8.0,0.5,0.5,15.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
441,C,,6/13/2000,1.0,8.2,9.5,0.4,0.4,28.0,,73.0,0:00,Not Recorded,,,22.77777778,2000
442,C,,6/26/2000,1.0,,8.8,0.5,0.5,29.0,,82.4,9:36,Not Recorded,,,28.0,2000
443,C,,7/11/2000,0.01,5.7,8.2,0.5,0.5,32.0,,80.6,14:24,Not Recorded,,,27.0,2000
444,C,,7/24/2000,0.5,,8.0,0.45,0.45,25.0,,78.0,0:00,Not Recorded,,,25.55555556,2000
445,C,,8/10/2000,0.0,6.3,6.7,0.6,0.6,29.0,,83.0,0:00,Not Recorded,,,28.33333333,2000
446,C,,8/22/2000,0.0,,8.3,0.5,0.5,24.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
447,C,,9/6/2000,0.0,6.3,8.1,0.55,0.55,21.0,,72.0,0:00,Not Recorded,,,22.22222222,2000
448,C,,9/18/2000,0.0,,8.1,0.35,0.35,21.0,,68.0,0:00,Not Recorded,,,20.0,2000
449,C,,10/4/2000,1.5,,8.1,0.35,0.35,26.0,,83.0,0:00,Not Recorded,,,28.33333333,2000
450,C,,10/26/2000,0.5,6.2,8.4,0.25,0.25,21.5,,67.0,0:00,Not Recorded,,,19.44444444,2000
451,C,,11/1/2000,1.0,,8.3,0.4,0.4,15.0,,58.0,0:00,Not Recorded,,,14.44444444,2000
452,C,,11/14/2000,1.0,6.0,7.4,0.3,0.3,13.0,,55.0,0:00,Not Recorded,,,12.77777778,2000
453,C,,12/11/2000,1.0,6.5,8.1,0.1,0.1,7.5,,45.0,0:00,Not Recorded,,,7.222222222,2000
454,C,,12/18/2000,1.0,,7.9,0.35,0.35,11.0,,43.4,9:36,Not Recorded,,,6.333333333,2000
455,D,,2/2/2000,0.0,7.1,7.2,1.4,1.4,4.0,,45.0,0:00,Not Recorded,,,7.222222222,2000
456,D,,2/17/2000,0.0,,8.5,1.45,1.45,9.5,,43.0,0:00,Not Recorded,,,6.1111111110000005,2000
457,D,,2/29/2000,0.0,6.9,7.0,0.9,0.95,14.0,,62.0,0:00,Not Recorded,,,16.66666667,2000
458,D,,3/13/2000,0.0,,8.4,0.85,0.95,14.0,,45.0,0:00,Not Recorded,,,7.222222222,2000
459,D,,4/3/2000,0.0,7.4,8.6,1.1,1.35,20.0,,,0:00,Not Recorded,,,-17.77777778,2000
460,D,,5/1/2000,0.0,,7.6,1.1,1.6,19.5,,75.0,0:00,Not Recorded,,,23.88888889,2000
461,D,,5/15/2000,0.0,,8.3,0.65,1.55,27.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
462,D,,5/30/2000,0.0,6.3,8.2,0.1,1.6,15.0,,50.0,0:00,Not Recorded,,,10.0,2000
463,D,,6/13/2000,0.0,6.3,7.7,0.75,1.4,,,78.8,19:12,Not Recorded,,,26.0,2000
464,D,,6/26/2000,0.0,,8.2,0.8,1.6,29.0,,80.6,14:24,Not Recorded,,,27.0,2000
465,D,,7/11/2000,0.0,4.4,8.6,0.65,1.6,27.0,,78.8,19:12,Not Recorded,,,26.0,2000
466,D,,7/24/2000,0.0,,8.1,0.7,0.85,25.0,,78.0,0:00,Not Recorded,,,25.55555556,2000
467,D,,8/10/2000,0.0,4.1,5.6,0.65,1.6,28.0,,83.0,0:00,Not Recorded,,,28.33333333,2000
468,D,,8/22/2000,0.0,,8.3,0.6,1.5,24.0,,71.0,0:00,Not Recorded,,,21.66666667,2000
469,D,,9/6/2000,0.0,5.0,8.5,0.7,1.65,21.0,,71.6,14:24,Not Recorded,,,22.0,2000
470,D,,9/18/2000,0.0,,8.6,0.6,1.52,20.0,,68.0,0:00,Not Recorded,,,20.0,2000
